Gecen Ogrenciler:

Selver         102    90.20
Oguz           105    58.20
Eren           111    65.60
Esma           134    61.40
Ihsan          112    57.20
Oguz           105    62.20
Polat          117    52.80
Mert           123    64.80
Yusu           124    79.00
Zubeyde        127    70.60
Esma           134    61.40
Mehmet         156    59.00
Safiye         166    65.00
Arda           178    64.00
Mustafa        210    54.40
Ibrahim        216    79.60
Nese           231    71.40
Kadir          237    56.00
Yasin          246    85.20
Zeliha         254    61.40
Salim          255    95.00
Emre           258    62.00
Idris          261    65.20
Elif           275    72.20
Irfan          291    58.00
Doruk          303    67.00
Yavuz          313    73.20
Furkan         321    57.00
Selin          326    61.40
Ihsan          327    81.00
Melike         330    61.80
Ismail         334    60.00
Polat          340   100.00
Semih          342    55.60
Betul          354    65.00
Mehmet         376    69.60
emir           377    54.40
Esma           379    59.80
Osman          398    51.40
Veli           421    52.00
Derya          422    90.40
Fatma          423    54.00
Veli           432    70.20
Yunus          455    66.40
Piril          458    50.00
Berkay         475    53.80
Sedef          486    74.60
Arda           504    62.80
Belgin         531    56.00
Ilker          533    56.80
Muhammed       543    55.80
Umit           545    70.40
Idris          555    62.40
Edanur         560    90.00
Gamze          573    62.00
Eysan          602    55.00
Meryem         608    73.80
Dilek          627    51.60
Ali            650    73.20
Akif           656    61.00
Erdem          677    78.00
Beytullah      682    70.00
Gizem          683    54.40
Osman          685    59.00
Ertugrul       686    70.60
Alara          726    56.20
Mehmet         769    63.40
Aydin          784    63.00
Galip          785    72.60
Ugur           789    60.60
Damla          808    75.00
Omer           848    67.20
Temel          863    54.00
Sumeyye        908    73.40
Abdulhey       925    56.60
Selim          929    50.60
Reyhan         954    53.40
Ozcan          958    61.60
Jale           961    65.80
Ezel           962    55.20
Berk           963    75.20
Ayse           964    51.80
Huseyin        982    76.40
Cakir          983    72.80


Kalan Ogrenciler:

Ad             Ogr. No  0.00
Osman          144    21.60
Hasan          174    47.60
Ahmed          222    35.40
Ela            225    19.80
Leyla          226    40.40
Nuri           230    36.20
Nuriye         297    46.40
Mahmut         363    46.40
Salih          384     9.00
Nazli          392    49.80
Ayca           393    47.00
Ceylan         394    29.00
Hakki          457    48.60
Gizemsu        460    20.00
Safinaz        468    32.60
bilge          472    43.20
Husnu          480    42.80
Harun          532    43.40
Hasan          544    35.40
Zeki           547    40.60
Hayri          586    34.20
Mehtap         648    42.80
Emre           695    19.60
Mehmet Ali     723    48.80
Adem           725    49.00
Hilmi          828    22.40
Elif           835    34.60
Salih          845    46.20
Maraz Ali      846    48.40
Kaan           889    33.20
Busra          892    40.80
Yavuz          902    45.40
Guliz          905    45.80
Arda           928    31.40
Ceylan         948    39.80
Gizem          998    42.40
Ali            999    42.00
